ID English Calculus Physics Chemistry 
1	  0.0	  2.5	 35.3	 66.7
2	 96.3	 83.8	 33.5	 91.5
3	 79.6	 83.3	 34.5	 87.1
4	  9.0	 88.8	 70.1	 73.5
5	 30.0	  5.0	 90.8	  9.8
6	  4.0	  8.5	 55.9	 92.6
7	  7.6	 91.2	  9.2	 63.8
8	 85.2	 12.1	 99.5	 77.8
9	  2.0	 17.0	 99.5	 75.4
10	 21.8	 65.9	 53.9	 48.0
11	 83.9	  2.5	 98.9	 58.6
12	 76.7	 44.5	 71.0	 79.5
13	 43.9	 20.9	 73.1	 66.6
14	 72.2	 21.1	 30.8	 26.3
15	 75.2	 55.0	 63.7	 63.1
16	 49.5	 47.1	 12.3	 53.5
17	 19.4	 96.8	 58.9	  1.8
18	 31.4	 55.3	 67.6	  1.7
19	 26.6	 46.1	 83.7	 22.9
20	 62.4	  4.5	 52.3	 81.0
21	 33.2	 89.2	 70.3	 74.6
22	 25.9	 67.1	 65.5	 93.5
23	 97.1	 50.1	 43.0	 31.7
24	 60.4	 16.9	 92.6	 53.6
25	 53.8	 56.5	 37.0	 48.8
26	 19.3	 60.3	 63.9	 47.8
27	 74.7	 66.1	 97.5	 88.9
28	 78.4	 97.8	 64.4	 30.7
29	 23.8	 28.3	 93.9	 22.0
30	 67.6	 54.8	 25.7	 17.2
31	 84.4	 86.7	 45.6	 60.8
32	 63.0	 19.0	  9.1	 70.7
33	 25.7	 29.5	 37.9	 15.5
34	 86.8	 96.2	 18.9	 67.2
35	 20.1	 96.0	 60.2	 73.7
36	 92.3	 35.3	 97.8	 77.3
37	 56.9	 18.2	 63.3	 80.9
38	 15.5	 59.9	 65.9	 37.7
39	 81.8	 54.5	 98.2	 92.9
40	 81.2	  5.4	 20.1	 63.1
41	 10.5	 16.4	 51.9	 20.9
42	 26.7	  6.9	  2.0	 80.5
43	 54.1	 94.1	 71.9	 54.0
44	 77.5	  4.3	 25.1	 61.5
45	 35.8	 22.2	 91.1	 20.4
46	 95.5	 86.6	 69.3	 23.9
47	 37.9	 90.6	 38.9	 54.3
48	 72.6	 90.3	 33.0	 15.4
49	 83.0	 61.8	 79.4	  5.1
50	 73.9	 60.2	 94.6	 20.8
51	 89.0	 47.9	 33.9	 88.1
52	 64.5	 50.4	 61.6	 56.0
53	 31.5	 87.1	 21.0	 13.2
54	 25.9	 68.7	 24.1	 84.9
55	 67.5	 15.8	 34.8	 61.4
56	 41.7	 79.5	 40.1	 54.5
57	 34.2	 76.8	 20.3	 76.1
58	 53.5	 45.4	 19.9	 75.3
59	 29.3	 20.2	 63.4	 33.0
60	 76.5	 42.7	  7.3	 68.4
61	 97.1	 81.2	 15.9	 20.0
62	 44.2	 89.2	 79.3	 93.4
63	  4.1	 23.1	 46.3	 30.1
64	 41.1	 56.9	 88.0	 88.7
65	 70.1	 29.7	 51.5	 57.0
66	 46.4	 63.5	 58.9	 64.4
67	 35.0	 55.7	 76.7	 66.4
68	  0.4	 42.7	 96.7	  6.7
69	 73.5	 33.8	  6.7	 82.9
70	 41.4	  5.5	 90.3	 30.3
71	 11.9	 40.1	 94.8	 40.8
72	 59.8	 73.9	 97.8	 22.9
73	 36.4	 30.8	 96.5	 47.4
74	 41.1	 21.0	 89.5	  6.1
75	 84.4	 32.3	 34.9	 27.0
76	 97.4	 94.4	 87.4	 47.4
77	 39.7	 73.9	 53.0	 56.6
78	 11.2	 10.0	 45.7	 66.6
79	 62.8	  7.8	 86.4	 73.4
80	 79.3	 25.2	 89.5	  8.4
81	 77.2	  4.3	 45.9	 37.0
82	 88.9	 30.1	 22.7	  4.3
83	 86.8	 77.2	 59.7	 92.4
84	  6.4	 74.3	 15.0	 54.6
85	 15.0	  3.4	 33.4	 11.3
86	 28.3	 44.3	 11.6	 40.8
87	 14.7	  6.4	 20.9	 86.6
88	  6.7	 48.7	 97.2	 40.1
89	 20.4	 91.9	 89.2	 56.1
90	 41.2	 74.1	 10.3	 97.1
91	 16.3	 40.7	 48.9	 37.2
92	 82.4	 25.3	 94.8	 51.2
93	 73.4	 63.9	  3.2	 14.1
94	 94.1	 20.3	 85.7	 22.6
95	 59.3	 84.7	 55.6	 69.5
96	 25.6	 64.4	 88.6	 93.2
97	 10.0	 82.3	 85.6	 49.4
98	 69.3	 55.8	 79.8	 67.2
99	 48.1	 80.8	 81.3	 23.3
100	 10.1	 70.8	 55.6	 34.9
101	 35.5	 21.5	 26.0	 86.6
102	 22.1	 18.7	 22.8	 36.1
103	 73.4	 32.5	 69.8	 40.3
104	 44.1	 34.3	 82.8	 76.2
105	 66.5	 87.9	 84.5	 98.8
106	 65.5	 85.0	 90.3	 84.6
107	 20.7	 64.2	 13.7	 19.3
108	 96.7	 36.1	 16.1	  1.7
109	 49.8	 97.1	 63.6	 88.4
110	 84.7	 62.6	  6.0	 32.8
111	 30.2	 12.4	 90.6	 25.3
112	 16.5	 27.7	 98.7	 57.6
113	 55.3	 59.1	 76.6	 85.0
114	 63.3	 57.5	 14.1	 89.0
115	  9.0	 96.3	 38.0	 96.5
116	 19.2	 63.2	 45.2	 45.8
117	 91.3	 59.7	  4.5	  9.0
118	 49.5	 60.5	  7.6	 47.3
119	 83.1	 11.9	  4.8	 70.0
120	 90.5	 31.5	  5.9	  9.9
121	 96.2	  8.0	 37.3	 81.1
122	 90.3	 45.3	 82.7	 32.1
123	 27.8	 34.8	 18.3	 30.6
124	 15.9	 85.5	 86.7	 57.2
125	 37.2	 14.0	 98.0	 51.7
126	 53.3	 13.9	 47.0	 29.9
127	 88.6	 72.4	 76.8	 25.7
128	 33.3	 69.8	 16.9	 33.3
129	 65.9	 53.9	 42.6	 83.0
130	 92.1	 96.7	 54.0	 73.5
131	 96.3	 54.6	 20.9	 68.5
132	 57.0	 73.4	 12.3	 34.7
133	 78.7	 49.5	 82.8	  9.1
134	 85.7	 31.2	 38.9	 39.7
135	 38.5	 45.7	 77.9	 75.3
136	 95.0	 36.1	  1.6	 90.5
137	 65.5	 67.3	  7.6	 16.2
138	 59.3	 38.6	 57.2	 52.0
139	 57.2	 97.8	 76.7	 85.1
140	 22.9	 96.2	 30.8	 26.4
141	 54.3	 23.0	 71.8	 96.5
142	 60.8	 57.3	 64.3	 78.7
143	 21.8	 56.3	 11.8	 93.8
144	 80.8	 27.8	 54.0	 72.8
145	 57.2	 49.7	 89.1	 78.2
146	 10.6	 55.8	 72.0	 10.2
147	  5.9	 62.4	 51.5	 62.5
148	 73.9	 21.5	 27.8	 38.7
149	  0.5	 85.1	 84.1	 10.4
150	 82.1	 41.1	 59.7	 64.8
151	  7.3	 33.1	 95.6	 55.9
152	 64.5	 42.8	 96.4	 11.8
153	 77.8	 84.1	 63.5	 51.2
154	 71.8	 14.9	  1.5	 37.7
155	 36.0	 76.5	 15.5	 49.7
156	 97.3	 77.7	 38.3	 88.3
157	 91.4	 98.6	 44.7	 74.9
158	 19.6	 72.1	 12.3	 48.3
159	 34.8	 57.8	 69.3	 60.8
160	 52.9	 66.1	 51.9	 59.8
161	 24.3	 56.4	 98.5	 67.7
162	 79.5	 97.3	 48.3	 55.3
163	 84.9	 35.6	 51.1	 53.8
164	 31.3	 83.5	 39.1	 35.8
165	 33.7	 69.9	 83.3	 73.3
166	 73.8	 94.9	  4.7	 35.4
167	 70.6	 84.6	 60.6	 23.4
168	 12.1	 20.2	 28.3	 88.9
169	 79.0	 38.7	 94.2	 45.2
170	 99.3	 58.7	 67.1	 13.9
171	 94.8	 36.7	 86.5	 85.0
172	 36.1	  6.1	  7.1	 92.0
173	 22.8	  2.8	  5.4	  3.1
174	  7.6	 45.2	 51.3	 57.4
175	  8.9	 62.2	 54.3	 74.2
176	  4.5	 58.2	 21.1	 82.5
177	 38.6	 56.9	 38.7	 73.1
178	 28.6	  1.5	 70.6	 13.9
179	  6.4	  2.3	 99.4	 63.9
180	 76.6	  4.7	  9.0	 90.4
181	 32.9	 87.5	 49.0	 69.8
182	 83.6	  8.6	 40.6	 63.3
183	 36.1	 58.7	 31.5	 63.6
184	 70.6	 64.2	  4.1	 12.7
185	 59.6	 45.5	 86.9	 25.4
186	 78.6	 99.6	 16.8	 64.5
187	 77.0	 31.6	 60.3	 29.8
188	 20.6	 95.8	 58.8	  5.7
189	 44.0	 83.0	 48.4	 91.3
190	 96.7	 71.3	 25.3	 10.8
191	 30.4	 61.3	 38.8	 76.5
192	 10.4	  1.1	 98.8	 68.2
193	  0.6	 96.1	 32.2	 30.9
194	 49.2	 18.3	 96.7	 17.4
195	 21.9	 54.2	 52.2	 54.1
196	 51.4	 60.1	 20.5	 95.3
197	 28.9	  8.8	 23.5	 69.8
198	 78.7	 19.8	 28.5	 99.0
199	 66.0	 49.9	 51.3	 68.9
200	 60.4	  7.1	 40.5	  3.5
201	 87.2	 29.3	 56.7	 80.9
202	 94.6	 17.3	 82.7	 53.9
203	  2.1	 34.4	 34.1	 80.8
204	 26.7	 68.0	 93.6	 94.6
205	 90.9	 81.9	 12.5	 40.7
206	 17.5	 93.6	 37.1	 82.0
207	 75.1	 90.3	 36.0	 41.1
208	 75.7	 77.1	 13.3	 47.0
209	 67.1	 45.6	 96.7	  6.5
